Rule ID,IF (Antecedents),THEN (Consequents),Support,Confidence,Confidence (%),Lift
816,"Age_Age_18_22, Temperature_Temp_Normal","Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1186,0.5249,52.49%,1.0014
817,"Cholesterol_Chol_Normal, Gender_Male","Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1671,0.5496,54.96%,1.0014
818,"Diabetes_No, Height_Height_150_160","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1023,0.578,57.8%,1.0014
819,"Heart Rate_HR_Normal, Weight_Weight_70_80",Diabetes_No,0.1088,0.8924,89.24%,1.0014
820,"Age_Age_28_34, Diabetes_No, Smoking_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1376,0.6175,61.75%,1.0014
821,"Blood Pressure_BP_Normal, Blood Type_A",Temperature_Temp_Normal,0.1123,0.7795,77.95%,1.0014
822,"Blood Type_O, Gender_Male",Diabetes_No,0.1095,0.8923,89.23%,1.0014
823,"Diabetes_No, Weight_Weight_60_70",Temperature_Temp_Normal,0.1146,0.7795,77.95%,1.0014
824,"Age_Age_28_34, Gender_Male, Heart Rate_HR_Normal, Temperature_Temp_Normal",Diabetes_No,0.1043,0.8923,89.23%,1.0014
825,"Blood Pressure_BP_Elevated, Heart Rate_HR_Normal",Smoking_No,0.1165,0.7928,79.28%,1.0014
826,"Blood Pressure_BP_Normal, Blood Type_B, Diabetes_No",Smoking_No,0.1054,0.7928,79.28%,1.0014
827,"Blood Type_O, Smoking_No, Temperature_Temp_Normal",Diabetes_No,0.1377,0.8923,89.23%,1.0014
828,"Blood Pressure_BP_Normal, Gender_Male",Temperature_Temp_Normal,0.2295,0.7795,77.95%,1.0014
829,"Age_Age_28_34, Cholesterol_Chol_Normal, Smoking_No",Temperature_Temp_Normal,0.1549,0.7794,77.94%,1.0013
830,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Gender_Female","Diabetes_No, Temperature_Temp_Normal",0.1259,0.694,69.4%,1.0013
831,"Blood Pressure_BP_Normal, Gender_Female","Cholesterol_Chol_Normal, Diabetes_No",0.1618,0.5506,55.06%,1.0013
832,"Cholesterol_Chol_Borderline, Diabetes_No, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1561,0.743,74.3%,1.0013
833,BMI_BMI_Underweight,"Blood Pressure_BP_Normal, Diabetes_No",0.1487,0.5297,52.97%,1.0013
834,"Gender_Female, Smoking_No","Cholesterol_Chol_Normal, Diabetes_No",0.2161,0.5506,55.06%,1.0013
835,"Blood Pressure_BP_Elevated, Heart Rate_HR_Normal, Temperature_Temp_Normal",Diabetes_No,0.1014,0.8923,89.23%,1.0013
836,"Blood Type_B, Temperature_Temp_Normal","Cholesterol_Chol_Normal, Diabetes_No",0.1072,0.5506,55.06%,1.0013
837,"Blood Pressure_BP_Elevated, Heart Rate_HR_Normal, Smoking_No",Diabetes_No,0.1039,0.8923,89.23%,1.0013
838,"Blood Pressure_BP_Normal, Gender_Male","Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1515,0.5146,51.46%,1.0013
839,"Blood Pressure_BP_Normal, Gender_Female, Temperature_Temp_Normal",Diabetes_No,0.2041,0.8923,89.23%,1.0013
840,Gender_Male,Heart Rate_HR_Normal,0.3677,0.743,74.3%,1.0013
841,"Age_Age_23_27, Smoking_No",Diabetes_No,0.2062,0.8923,89.23%,1.0013
842,"Blood Type_B, Diabetes_No, Heart Rate_HR_Normal",Cholesterol_Chol_Normal,0.1023,0.6174,61.74%,1.0013
843,"BMI_BMI_Obese, Heart Rate_HR_Normal",Smoking_No,0.1069,0.7927,79.27%,1.0013
844,"Age_Age_18_22, Diabetes_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1499,0.5779,57.79%,1.0013
845,Blood Type_AB,Smoking_No,0.1935,0.7927,79.27%,1.0013
846,"BMI_BMI_Underweight, Blood Pressure_BP_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1104,0.6622,66.22%,1.0013
847,"Gender_Male, Heart Rate_HR_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.1948,0.5297,52.97%,1.0013
848,"Blood Type_A, Smoking_No, Temperature_Temp_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1003,0.6622,66.22%,1.0013
849,Blood Pressure_BP_High,"Heart Rate_HR_Normal, Smoking_No",0.1055,0.5885,58.85%,1.0013
850,"Diabetes_No, Gender_Male, Smoking_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.2017,0.5779,57.79%,1.0013
851,"Blood Pressure_BP_Normal, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.3439,0.7794,77.94%,1.0013
852,"Blood Pressure_BP_Normal, Gender_Female, Heart Rate_HR_Normal",Diabetes_No,0.1941,0.8922,89.22%,1.0013
853,"Cholesterol_Chol_Normal, Heart Rate_HR_Normal",Diabetes_No,0.4079,0.8922,89.22%,1.0013
854,"Height_Height_190_200, Smoking_No",Diabetes_No,0.1397,0.8922,89.22%,1.0013
855,"BMI_BMI_Underweight, Blood Pressure_BP_Normal",Diabetes_No,0.1487,0.8922,89.22%,1.0013
856,"BMI_BMI_Normal, Diabetes_No, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1376,0.595,59.5%,1.0012
857,"Blood Type_B, Diabetes_No, Smoking_No",Heart Rate_HR_Normal,0.1309,0.7429,74.29%,1.0012
858,"Age_Age_18_22, Heart Rate_HR_Normal, Smoking_No",Diabetes_No,0.1525,0.8922,89.22%,1.0012
859,"Gender_Female, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.2723,0.694,69.4%,1.0012
860,Heart Rate_HR_Normal,"Diabetes_No, Smoking_No",0.5242,0.7064,70.64%,1.0012
861,"Diabetes_No, Smoking_No",Heart Rate_HR_Normal,0.5242,0.7429,74.29%,1.0012
862,"Cholesterol_Chol_Normal, Gender_Male, Heart Rate_HR_Normal, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1245,0.6939,69.39%,1.0012
863,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Gender_Female, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1041,0.7794,77.94%,1.0012
864,"Cholesterol_Chol_Normal, Gender_Male",Diabetes_No,0.2712,0.8922,89.22%,1.0012
865,"Age_Age_23_27, Diabetes_No, Smoking_No",Heart Rate_HR_Normal,0.1532,0.7429,74.29%,1.0012
866,"Height_Height_190_200, Smoking_No, Temperature_Temp_Normal",Diabetes_No,0.1085,0.8922,89.22%,1.0012
867,"Heart Rate_HR_Normal, Temperature_Temp_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.3057,0.5297,52.97%,1.0012
868,"Blood Pressure_BP_Normal, Diabetes_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.3057,0.5779,57.79%,1.0012
869,"Diabetes_No, Gender_Male","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.2548,0.5779,57.79%,1.0012
870,"BMI_BMI_Normal, Blood Pressure_BP_Normal, Temperature_Temp_Normal",Diabetes_No,0.1376,0.8922,89.22%,1.0012
871,"Blood Type_O, Cholesterol_Chol_Normal",Diabetes_No,0.1376,0.8922,89.22%,1.0012
872,"Age_Age_18_22, Heart Rate_HR_Normal, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1186,0.6939,69.39%,1.0012
873,Smoking_Yes,"Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1147,0.5779,57.79%,1.0012
874,"BMI_BMI_Normal, Heart Rate_HR_Normal, Smoking_No",Cholesterol_Chol_Normal,0.1203,0.6174,61.74%,1.0012
875,Age_Age_18_22,"Diabetes_No, Heart Rate_HR_Normal",0.1925,0.6622,66.22%,1.0012
876,"Blood Pressure_BP_Normal, Blood Type_B",Smoking_No,0.1185,0.7926,79.26%,1.0012
877,"Age_Age_23_27, Temperature_Temp_Normal","Diabetes_No, Heart Rate_HR_Normal",0.1498,0.6622,66.22%,1.0012
878,"Blood Type_B, Temperature_Temp_Normal",Smoking_No,0.1544,0.7926,79.26%,1.0012
879,Age_Age_18_22,Diabetes_No,0.2593,0.8922,89.22%,1.0012
880,Gender_Male,Blood Pressure_BP_Normal,0.2944,0.5949,59.49%,1.0012
881,"Age_Age_28_34, Gender_Male",Diabetes_No,0.1815,0.8922,89.22%,1.0012
882,"Blood Pressure_BP_Normal, Gender_Female",Cholesterol_Chol_Normal,0.1814,0.6174,61.74%,1.0012
883,BMI_BMI_Overweight,Heart Rate_HR_Normal,0.1452,0.7429,74.29%,1.0012
884,"Blood Type_B, Diabetes_No, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.103,0.5949,59.49%,1.0012
885,"Temperature_Temp_Normal, Weight_Weight_90_100",Smoking_No,0.1022,0.7926,79.26%,1.0011
886,"Blood Pressure_BP_Normal, Gender_Female, Temperature_Temp_Normal","Cholesterol_Chol_Normal, Diabetes_No",0.1259,0.5505,55.05%,1.0011
887,"Blood Pressure_BP_Normal, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.3439,0.7429,74.29%,1.0011
888,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1119,0.6939,69.39%,1.0011
889,Smoking_No,"Diabetes_No, Heart Rate_HR_Normal",0.5242,0.6621,66.21%,1.0011
890,"Diabetes_No, Heart Rate_HR_Normal",Smoking_No,0.5242,0.7926,79.26%,1.0011
891,"BMI_BMI_Normal, Smoking_No, Temperature_Temp_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.1079,0.5296,52.96%,1.0011
892,"Height_Height_150_160, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1153,0.7428,74.28%,1.0011
893,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Diabetes_No, Heart Rate_HR_Normal",Smoking_No,0.1075,0.7926,79.26%,1.0011
894,Blood Pressure_BP_Elevated,"Smoking_No, Temperature_Temp_Normal",0.1219,0.6168,61.68%,1.0011
895,"Temperature_Temp_Normal, Weight_Weight_40_50",Smoking_No,0.1012,0.7925,79.25%,1.0011
896,Blood Type_B,Heart Rate_HR_Normal,0.1861,0.7428,74.28%,1.0011
897,BMI_BMI_Underweight,"Cholesterol_Chol_Normal, Diabetes_No",0.1546,0.5505,55.05%,1.0011
898,"Age_Age_18_22, Blood Pressure_BP_Normal",Diabetes_No,0.154,0.8921,89.21%,1.0011
899,Cholesterol_Chol_Borderline,"Blood Pressure_BP_Normal, Diabetes_No",0.1612,0.5296,52.96%,1.0011
900,"Age_Age_18_22, Smoking_No","Blood Pressure_BP_Normal, Diabetes_No",0.1218,0.5296,52.96%,1.0011
901,"BMI_BMI_Normal, Blood Pressure_BP_Normal, Smoking_No",Temperature_Temp_Normal,0.1208,0.7793,77.93%,1.0011
902,BMI_BMI_Normal,"Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1919,0.5778,57.78%,1.0011
903,Blood Pressure_BP_Normal,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.3057,0.5145,51.45%,1.0011
904,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.3057,0.5949,59.49%,1.0011
905,"Cholesterol_Chol_Borderline, Heart Rate_HR_Normal, Smoking_No",Temperature_Temp_Normal,0.1388,0.7792,77.92%,1.0011
906,Smoking_Yes,"Diabetes_No, Temperature_Temp_Normal",0.1377,0.6938,69.38%,1.0011
907,"Blood Type_AB, Gender_Male",Diabetes_No,0.1086,0.8921,89.21%,1.0011
908,Age_Age_23_27,Temperature_Temp_Normal,0.2262,0.7792,77.92%,1.0011
909,"BMI_BMI_Underweight, Gender_Female",Diabetes_No,0.1237,0.8921,89.21%,1.0011
910,"Blood Pressure_BP_Normal, Blood Type_AB, Smoking_No",Diabetes_No,0.103,0.8921,89.21%,1.0011
911,Weight_Weight_40_50,Smoking_No,0.1303,0.7925,79.25%,1.0011
912,"Age_Age_28_34, Cholesterol_Chol_Borderline",Diabetes_No,0.111,0.8921,89.21%,1.0011
913,"Diabetes_No, Gender_Female, Heart Rate_HR_Normal, Smoking_No",Cholesterol_Chol_Normal,0.1603,0.6173,61.73%,1.0011
914,"Age_Age_18_22, Cholesterol_Chol_Normal",Blood Pressure_BP_Normal,0.1074,0.5948,59.48%,1.0011
915,"Diabetes_No, Gender_Female, Temperature_Temp_Normal",Smoking_No,0.2723,0.7925,79.25%,1.001
916,"Age_Age_28_34, Heart Rate_HR_Normal, Smoking_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1145,0.6173,61.73%,1.001
917,"BMI_BMI_Overweight, Heart Rate_HR_Normal, Temperature_Temp_Normal",Diabetes_No,0.1013,0.892,89.2%,1.001
918,"Age_Age_28_34, Blood Pressure_BP_Normal, Cholesterol_Chol_Normal",Temperature_Temp_Normal,0.1164,0.7792,77.92%,1.001
919,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Diabetes_No",Temperature_Temp_Normal,0.254,0.7792,77.92%,1.001
920,"BMI_BMI_Underweight, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1344,0.6173,61.73%,1.001
921,"Gender_Female, Smoking_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1885,0.6173,61.73%,1.001
922,"Cholesterol_Chol_Normal, Heart Rate_HR_Normal, Smoking_No, Temperature_Temp_Normal",Diabetes_No,0.2512,0.892,89.2%,1.001
923,"Gender_Male, Heart Rate_HR_Normal, Smoking_No, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1346,0.5948,59.48%,1.001
924,"Blood Pressure_BP_Normal, Gender_Female, Heart Rate_HR_Normal","Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1195,0.5494,54.94%,1.001
925,"BMI_BMI_Normal, Cholesterol_Chol_Normal, Diabetes_No","Heart Rate_HR_Normal, Smoking_No",0.1075,0.5884,58.84%,1.001
926,"BMI_BMI_Normal, Cholesterol_Chol_Normal",Heart Rate_HR_Normal,0.1518,0.7428,74.28%,1.001
927,"Age_Age_18_22, Heart Rate_HR_Normal",Diabetes_No,0.1925,0.892,89.2%,1.001
928,"Diabetes_No, Gender_Female, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.2016,0.7925,79.25%,1.001
929,"Blood Type_B, Cholesterol_Chol_Normal, Temperature_Temp_Normal",Diabetes_No,0.1072,0.892,89.2%,1.001
930,"Gender_Female, Heart Rate_HR_Normal, Smoking_No",Cholesterol_Chol_Normal,0.1798,0.6173,61.73%,1.001
931,"Heart Rate_HR_High, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.1229,0.7062,70.62%,1.001
932,Blood Pressure_BP_High,"Smoking_No, Temperature_Temp_Normal",0.1106,0.6168,61.68%,1.001
933,"BMI_BMI_Normal, Diabetes_No, Smoking_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1352,0.5778,57.78%,1.001
934,"BMI_BMI_Normal, Blood Pressure_BP_Normal, Smoking_No",Diabetes_No,0.1383,0.892,89.2%,1.001
935,Cholesterol_Chol_Borderline,Blood Pressure_BP_Normal,0.181,0.5948,59.48%,1.001
936,"Blood Type_B, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1202,0.6172,61.72%,1.001
937,"Cholesterol_Chol_Borderline, Gender_Male, Heart Rate_HR_Normal",Diabetes_No,0.1,0.892,89.2%,1.001
938,Temperature_Temp_Normal,Cholesterol_Chol_Normal,0.4804,0.6172,61.72%,1.0009
939,Cholesterol_Chol_Normal,Temperature_Temp_Normal,0.4804,0.7791,77.91%,1.0009
940,"BMI_BMI_Underweight, Blood Pressure_BP_Normal",Cholesterol_Chol_Normal,0.1029,0.6172,61.72%,1.0009
941,"Blood Pressure_BP_Elevated, Smoking_No",Temperature_Temp_Normal,0.1219,0.7791,77.91%,1.0009
942,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Gender_Female, Heart Rate_HR_Normal",Diabetes_No,0.1191,0.8919,89.19%,1.0009
943,"Age_Age_28_34, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1399,0.5948,59.48%,1.0009
944,"Cholesterol_Chol_Normal, Smoking_No",Diabetes_No,0.4352,0.8919,89.19%,1.0009
945,"BMI_BMI_Normal, Gender_Male",Temperature_Temp_Normal,0.1278,0.7791,77.91%,1.0009
946,"Blood Type_O, Cholesterol_Chol_Normal, Smoking_No",Diabetes_No,0.1085,0.8919,89.19%,1.0009
947,"Blood Type_B, Smoking_No",Temperature_Temp_Normal,0.1544,0.7791,77.91%,1.0009
948,"Cholesterol_Chol_Borderline, Diabetes_No, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.1236,0.5883,58.83%,1.0009
949,"Cholesterol_Chol_Normal, Heart Rate_HR_Normal","Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.2512,0.5493,54.93%,1.0009
950,"Blood Pressure_BP_Normal, Gender_Female, Smoking_No",Cholesterol_Chol_Normal,0.1437,0.6172,61.72%,1.0009
951,"Age_Age_23_27, Heart Rate_HR_Normal, Smoking_No",Diabetes_No,0.1532,0.8919,89.19%,1.0009
952,"Age_Age_23_27, Gender_Female",Diabetes_No,0.1286,0.8919,89.19%,1.0009
953,"BMI_BMI_Underweight, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.1275,0.7924,79.24%,1.0009
954,"Blood Pressure_BP_Elevated, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.1086,0.6937,69.37%,1.0009
955,Cholesterol_Chol_Normal,"Heart Rate_HR_Normal, Smoking_No",0.3628,0.5883,58.83%,1.0009
956,"Heart Rate_HR_Normal, Smoking_No",Cholesterol_Chol_Normal,0.3628,0.6172,61.72%,1.0009
957,"Blood Type_B, Cholesterol_Chol_Normal",Temperature_Temp_Normal,0.1202,0.7791,77.91%,1.0009
958,"BMI_BMI_Underweight, Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.1134,0.7924,79.24%,1.0009
959,Heart Rate_HR_High,Cholesterol_Chol_Normal,0.1377,0.6172,61.72%,1.0009
960,"BMI_BMI_Underweight, Cholesterol_Chol_Normal, Heart Rate_HR_Normal",Diabetes_No,0.1139,0.8919,89.19%,1.0009
961,"Gender_Female, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.2262,0.7924,79.24%,1.0009
962,"Gender_Male, Smoking_No",Heart Rate_HR_Normal,0.2908,0.7427,74.27%,1.0009
963,BMI_BMI_Normal,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1743,0.5246,52.46%,1.0009
964,"BMI_BMI_Overweight, Temperature_Temp_Normal",Diabetes_No,0.1363,0.8919,89.19%,1.0009
965,"Blood Pressure_BP_Normal, Diabetes_No, Gender_Female, Smoking_No",Cholesterol_Chol_Normal,0.1283,0.6172,61.72%,1.0009
966,"Age_Age_28_34, Cholesterol_Chol_Normal, Diabetes_No",Temperature_Temp_Normal,0.1748,0.7791,77.91%,1.0009
967,"BMI_BMI_Normal, Cholesterol_Chol_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.1082,0.5295,52.95%,1.0008
968,Age_Age_18_22,"Diabetes_No, Heart Rate_HR_Normal, Smoking_No",0.1525,0.5246,52.46%,1.0008
969,"Age_Age_18_22, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1344,0.5947,59.47%,1.0008
970,"Age_Age_23_27, Diabetes_No, Smoking_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1191,0.5777,57.77%,1.0008
971,"Gender_Female, Temperature_Temp_Normal","Blood Pressure_BP_Normal, Diabetes_No",0.2041,0.5294,52.94%,1.0008
972,"Cholesterol_Chol_Normal, Diabetes_No, Gender_Male",Temperature_Temp_Normal,0.2113,0.779,77.9%,1.0008
973,"Gender_Female, Temperature_Temp_Normal",Smoking_No,0.3054,0.7923,79.23%,1.0008
974,"Blood Type_O, Smoking_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1141,0.5777,57.77%,1.0008
975,Gender_Female,"Diabetes_No, Temperature_Temp_Normal",0.3437,0.6937,69.37%,1.0008
976,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Gender_Female",Diabetes_No,0.1618,0.8918,89.18%,1.0008
977,"Blood Pressure_BP_Normal, Diabetes_No, Gender_Female, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1512,0.779,77.9%,1.0008
978,BMI_BMI_Normal,Temperature_Temp_Normal,0.2588,0.779,77.9%,1.0008
979,Temperature_Temp_Fever,Smoking_No,0.1673,0.7923,79.23%,1.0008
980,"Cholesterol_Chol_Normal, Heart Rate_HR_Normal, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.2512,0.7061,70.61%,1.0008
981,Blood Pressure_BP_Elevated,Diabetes_No,0.1763,0.8918,89.18%,1.0008
982,"Diabetes_No, Weight_Weight_70_80",Temperature_Temp_Normal,0.115,0.779,77.9%,1.0008
983,"Age_Age_28_34, Diabetes_No, Heart Rate_HR_Normal, Smoking_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1018,0.6171,61.71%,1.0008
984,"Blood Type_A, Cholesterol_Chol_Normal",Diabetes_No,0.1348,0.8918,89.18%,1.0008
985,"Gender_Female, Heart Rate_HR_Normal, Temperature_Temp_Normal","Diabetes_No, Smoking_No",0.2016,0.7061,70.61%,1.0008
986,"BMI_BMI_Underweight, Diabetes_No, Temperature_Temp_Normal",Smoking_No,0.1535,0.7923,79.23%,1.0008
987,"Cholesterol_Chol_Borderline, Diabetes_No, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.125,0.5947,59.47%,1.0008
988,"Gender_Male, Heart Rate_HR_Normal, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.2017,0.6936,69.36%,1.0008
989,"Gender_Male, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.2863,0.7426,74.26%,1.0008
990,"BMI_BMI_Normal, Diabetes_No","Heart Rate_HR_Normal, Temperature_Temp_Normal",0.1715,0.5776,57.76%,1.0008
991,"Diabetes_No, Gender_Male, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1515,0.5947,59.47%,1.0008
992,"Diabetes_No, Gender_Male, Temperature_Temp_Normal","Heart Rate_HR_Normal, Smoking_No",0.2017,0.5883,58.83%,1.0008
993,"Cholesterol_Chol_Normal, Smoking_No","Diabetes_No, Temperature_Temp_Normal",0.3385,0.6936,69.36%,1.0008
994,"Smoking_No, Weight_Weight_90_100",Diabetes_No,0.1166,0.8918,89.18%,1.0008
995,"BMI_BMI_Underweight, Gender_Male",Smoking_No,0.1102,0.7923,79.23%,1.0008
996,"Cholesterol_Chol_Normal, Diabetes_No, Gender_Male",Smoking_No,0.2149,0.7923,79.23%,1.0008
997,"Cholesterol_Chol_Borderline, Diabetes_No",Blood Pressure_BP_Normal,0.1612,0.5947,59.47%,1.0008
998,"Age_Age_18_22, Diabetes_No, Heart Rate_HR_Normal",Smoking_No,0.1525,0.7923,79.23%,1.0008
999,"Blood Pressure_BP_High, Temperature_Temp_Normal",Diabetes_No,0.1243,0.8918,89.18%,1.0008
1000,Blood Pressure_BP_Normal,Temperature_Temp_Normal,0.4629,0.779,77.9%,1.0008
1001,Temperature_Temp_Normal,Blood Pressure_BP_Normal,0.4629,0.5947,59.47%,1.0008
1002,BMI_BMI_Overweight,Diabetes_No,0.1744,0.8918,89.18%,1.0008
1003,"Age_Age_28_34, Gender_Female, Smoking_No",Temperature_Temp_Normal,0.1239,0.779,77.9%,1.0008
1004,"Age_Age_18_22, Gender_Male",Temperature_Temp_Normal,0.1114,0.779,77.9%,1.0007
1005,"BMI_BMI_Normal, Gender_Female","Diabetes_No, Heart Rate_HR_Normal",0.1093,0.6619,66.19%,1.0007
1006,"Blood Type_B, Diabetes_No",Cholesterol_Chol_Normal,0.1375,0.6171,61.71%,1.0007
1007,"Blood Type_B, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.1446,0.7426,74.26%,1.0007
1008,"Diabetes_No, Height_Height_190_200",Blood Pressure_BP_Normal,0.105,0.5947,59.47%,1.0007
1009,"Blood Pressure_BP_Normal, Cholesterol_Chol_Normal, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.2111,0.779,77.9%,1.0007
1010,Blood Type_AB,Cholesterol_Chol_Normal,0.1506,0.6171,61.71%,1.0007
1011,Blood Pressure_BP_Elevated,"Diabetes_No, Smoking_No, Temperature_Temp_Normal",0.1086,0.5492,54.92%,1.0007
1012,"Cholesterol_Chol_Normal, Gender_Male, Temperature_Temp_Normal",Heart Rate_HR_Normal,0.176,0.7426,74.26%,1.0007
1013,"Age_Age_28_34, Gender_Male, Smoking_No, Temperature_Temp_Normal",Diabetes_No,0.111,0.8918,89.18%,1.0007
1014,"Diabetes_No, Gender_Male, Heart Rate_HR_Normal, Smoking_No, Temperature_Temp_Normal",Cholesterol_Chol_Normal,0.1245,0.6171,61.71%,1.0007
1015,Height_Height_160_170,Cholesterol_Chol_Normal,0.122,0.6171,61.71%,1.0007
1016,"Gender_Female, Smoking_No, Temperature_Temp_Normal",Diabetes_No,0.2723,0.8918,89.18%,1.0007
1017,"Blood Pressure_BP_Normal, Height_Height_190_200",Diabetes_No,0.105,0.8918,89.18%,1.0007
1018,"BMI_BMI_Normal, Cholesterol_Chol_Normal","Heart Rate_HR_Normal, Smoking_No",0.1203,0.5882,58.82%,1.0007
1019,Gender_Female,"Diabetes_No, Smoking_No",0.3498,0.706,70.6%,1.0007
1020,Gender_Male,Temperature_Temp_Normal,0.3855,0.779,77.9%,1.0007
1021,"Heart Rate_HR_Normal, Smoking_No",Diabetes_No,0.5242,0.8917,89.17%,1.0007
1022,Diabetes_No,"Heart Rate_HR_Normal, Smoking_No",0.5242,0.5882,58.82%,1.0007
1023,Smoking_No,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",0.4071,0.5143,51.43%,1.0007
1024,"Diabetes_No, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.4071,0.7922,79.22%,1.0007
1025,"Cholesterol_Chol_Normal, Diabetes_No, Gender_Male, Heart Rate_HR_Normal, Temperature_Temp_Normal",Smoking_No,0.1245,0.7922,79.22%,1.0007
1026,"BMI_BMI_Underweight, Temperature_Temp_Normal",Smoking_No,0.1725,0.7922,79.22%,1.0007
1027,"Blood Pressure_BP_Normal, Gender_Male, Heart Rate_HR_Normal",Temperature_Temp_Normal,0.1708,0.7789,77.89%,1.0007
1028,Weight_Weight_50_60,Diabetes_No,0.1488,0.8917,89.17%,1.0007
1029,BMI_BMI_Obese,Cholesterol_Chol_Normal,0.1119,0.6171,61.71%,1.0007
1030,"Blood Type_AB, Temperature_Temp_Normal",Diabetes_No,0.1686,0.8917,89.17%,1.0007
1031,"BMI_BMI_Normal, Heart Rate_HR_Normal","Diabetes_No, Smoking_No",0.1743,0.706,70.6%,1.0007
1032,"Diabetes_No, Weight_Weight_60_70",Heart Rate_HR_Normal,0.1092,0.7425,74.25%,1.0007
1033,"Blood Pressure_BP_Normal, Blood Type_AB","Diabetes_No, Temperature_Temp_Normal",0.101,0.6936,69.36%,1.0007
1034,"Age_Age_23_27, Heart Rate_HR_Normal",Diabetes_No,0.1926,0.8917,89.17%,1.0007
1035,"Diabetes_No, Gender_Female, Heart Rate_HR_Normal, Temperature_Temp_Normal",Blood Pressure_BP_Normal,0.1512,0.5946,59.46%,1.0007
1036,"Age_Age_28_34, Gender_Female",Temperature_Temp_Normal,0.1572,0.7789,77.89%,1.0007
1037,"Blood Type_O, Heart Rate_HR_Normal, Temperature_Temp_Normal",Diabetes_No,0.1298,0.8917,89.17%,1.0007
